XX,YY,ZZ,XY,YZ,ZX
step1,216.86958,24.61661,38.04486,0.00000,0.00000,0.00000
step2,212.77873,26.39832,38.84927,-0.00000,0.00000,0.00000
step3,214.22240,25.59634,38.56093,-0.00000,0.00000,0.00000
