XX,YY,ZZ,XY,YZ,ZX
step1,-330.05940,-32.70919,-53.67677,-0.00000,0.00000,0.00000
step2,-329.76976,-34.77677,-53.10344,0.00000,0.00000,0.00000
step3,-329.79634,-34.25195,-53.23743,0.00000,0.00000,0.00000
