XX,YY,ZZ,XY,YZ,ZX
step1,472.84069,57.15554,85.60833,0.00000,0.00000,0.00000
step2,457.71250,63.00386,89.85436,0.00000,0.00000,0.00000
step3,463.95250,59.90788,87.89648,-0.00000,0.00000,0.00000
step4,463.88404,59.86320,87.92289,0.00000,0.00000,0.00000
