XX,YY,ZZ,XY,YZ,ZX
step1,-181.01846,-18.20735,-29.93920,0.00000,0.00000,0.00000
step2,-180.48325,-19.53014,-29.67290,-0.00000,0.00000,0.00000
step3,-180.65915,-19.19068,-29.73606,0.00000,0.00000,0.00000
